time,seconds_elapsed,z,y,x
1684099577577074000,0.015073974609375,-0.1639728993177414,0.015971235930919647,-0.15658797323703766
1684099577587092700,0.0250927734375,-0.15610405802726746,0.12579414248466492,-0.03816144913434982
1684099577597110800,0.03511083984375,-0.15554828941822052,0.18253301084041595,0.11153316497802734
1684099577607129900,0.0451298828125,-0.1860649138689041,0.19000159204006195,0.28964218497276306
1684099577617147600,0.055147705078125,-0.24711047112941742,0.11132470518350601,0.48032140731811523
1684099577627165700,0.065165771484375,-0.3000440001487732,0.18167530000209808,0.6097718477249146
1684099577637184500,0.0751845703125,-0.372656911611557,0.3983916640281677,0.6759994626045227
1684099577647202800,0.085202880859375,-0.4567211866378784,0.6123364567756653,0.7479059100151062
1684099577657222000,0.095221923828125,-0.46433794498443604,0.7553972005844116,0.8794021010398865
1684099577667239700,0.10523974609375,-0.3829538822174072,0.8993716835975647,1.1208714246749878
1684099577677257700,0.1152578125,-0.1923750787973404,0.8981903791427612,1.4433292150497437
1684099577687276800,0.12527685546875,0.030677175149321556,0.8975592255592346,1.835281252861023
1684099577697294600,0.135294677734375,0.24822893738746643,0.9360015392303467,2.1555991172790527
1684099577707313700,0.145313720703125,0.5072402358055115,0.7381646633148193,2.246382713317871
1684099577717331700,0.155331787109375,0.6236280798912048,0.031344473361968994,2.2190475463867188
1684099577727349800,0.165349853515625,0.4860697090625763,-0.7241008281707764,2.1374738216400146
1684099577737368800,0.175368896484375,0.28333908319473267,-1.165900468826294,1.9671491384506226
1684099577747386600,0.18538671875,0.21431927382946014,-1.0001602172851562,1.7456119060516357
1684099577757405700,0.19540576171875,0.20882809162139893,-0.37262311577796936,1.559447169303894
1684099577767423700,0.205423828125,0.04368388280272484,0.1532856673002243,1.4350546598434448
1684099577777441800,0.21544189453125,-0.18042562901973724,0.5951716303825378,1.5608540773391724
1684099577787460900,0.2254609375,-0.2496347874403,1.003551721572876,2.0424022674560547
1684099577797478700,0.235478759765625,-0.3029814660549164,0.8204049468040466,2.261023759841919
1684099577807497700,0.245497802734375,-0.5836312770843506,-0.28518086671829224,1.7636274099349976
1684099577817515500,0.255515625,-0.9911852478981018,-0.7211241126060486,1.3231475353240967
1684099577827533800,0.265533935546875,-1.2423052787780762,-0.7771199941635132,1.1064817905426025
1684099577837553000,0.275552978515625,-1.230099081993103,-0.4927390515804291,0.9224239587783813
1684099577847570700,0.28557080078125,-1.2569727897644043,-0.3056653141975403,0.9085257053375244
1684099577857589800,0.29558984375,-1.328147053718567,-0.6696416735649109,1.034579873085022
1684099577867607800,0.30560791015625,-1.3495274782180786,-1.0455940961837769,1.1262751817703247
1684099577877626600,0.315626708984375,-1.2892624139785767,-1.0196499824523926,1.1441019773483276
1684099577887644700,0.325644775390625,-0.8829516768455505,0.044481310993433,0.9747501611709595
1684099577897662700,0.335662841796875,0.6323900818824768,1.4206233024597168,-0.29191216826438904
1684099577907681800,0.345681884765625,0.1680828481912613,0.900922954082489,-0.5541427135467529
1684099577917699800,0.355699951171875,-0.3125300407409668,0.1425497978925705,-0.7514790892601013
1684099577927718700,0.36571875,-0.3853187561035156,-0.38955405354499817,-0.8016724586486816
1684099577937736700,0.37573681640625,-0.3868361711502075,-0.4905407130718231,-0.6697322130203247
1684099577947754500,0.38575439453125,-0.39571675658226013,-0.5379676222801208,-0.5266397595405579
1684099577957773600,0.395773681640625,-0.43284696340560913,-0.5607163310050964,-0.41037434339523315
1684099577967791900,0.4057919921875,-0.48356473445892334,-0.5348237752914429,-0.26340752840042114
1684099577977810700,0.415810791015625,-0.5156533122062683,-0.4612514078617096,-0.13384434580802917
1684099577987828700,0.425828857421875,-0.5446969270706177,-0.2950991690158844,0.028563478961586952
1684099577997846800,0.4358466796875,-0.6084553003311157,-0.14529022574424744,0.12407610565423965
1684099578007865600,0.445865478515625,-0.8821046948432922,-0.16260424256324768,-0.08506166934967041
1684099578017884000,0.4558837890625,-1.228515625,-0.07803867012262344,-0.28423354029655457
1684099578027902700,0.46590283203125,-1.4783917665481567,0.004960076883435249,-0.34141239523887634
1684099578037920800,0.475920654296875,-1.3417688608169556,0.29459160566329956,-0.17021262645721436
1684099578047939800,0.48593994140625,-0.9963017106056213,0.6954540610313416,0.024803735315799713
1684099578057957600,0.49595751953125,-0.8492794036865234,0.9871798157691956,0.10376586765050888
1684099578067975700,0.5059755859375,-0.9015063643455505,1.0413740873336792,0.047841884195804596
1684099578077994800,0.515994873046875,-0.858086884021759,0.8363950848579407,-0.03748759254813194
1684099578088012800,0.5260126953125,-0.724269449710846,0.6538516283035278,-0.04318515956401825
1684099578098031900,0.536031982421875,-0.5946153402328491,0.5768901109695435,0.041959669440984726
1684099578108049700,0.546049560546875,-0.6326404809951782,0.5035860538482666,0.12972255051136017
1684099578118067700,0.556067626953125,-0.6900300979614258,0.5265789031982422,0.06223921850323677
1684099578128086800,0.566086669921875,-0.7895657420158386,0.5966613292694092,-0.2613614797592163
1684099578138104600,0.5761044921875,-1.3467975854873657,0.5053081512451172,-0.7705938220024109
1684099578148123600,0.58612353515625,-1.8070151805877686,0.47086602449417114,-1.2742018699645996
1684099578158141700,0.5961416015625,-2.3124682903289795,0.6302103400230408,-1.655941367149353
1684099578168159700,0.60615966796875,-2.615833282470703,0.4256656765937805,-2.1263034343719482
1684099578178178800,0.6161787109375,-2.750382900238037,-0.38181284070014954,-2.634032726287842
1684099578188196600,0.626196533203125,-2.1726672649383545,-0.34688815474510193,-2.638869524002075
1684099578198215700,0.636215576171875,-1.5639688968658447,0.15231984853744507,-2.07533860206604
