time,seconds_elapsed,z,y,x
1683586965465344500,0.971344482421875,0.6034550666809082,-0.22768040001392365,-0.2349323332309723
1683586965475350300,0.981350341796875,0.6439836025238037,-0.24348074197769165,-0.09610609710216522
1683586965485357600,0.991357666015625,0.673321008682251,-0.28894808888435364,-0.06045994907617569
1683586965495364400,1.0013642578125,0.7300524711608887,-0.3035154938697815,-0.1230425015091896
1683586965505371600,1.01137158203125,0.8082000017166138,-0.31304508447647095,-0.2521040737628937
1683586965515377400,1.02137744140625,0.8770173788070679,-0.24664093554019928,-0.4163283407688141
1683586965525384400,1.031384521484375,0.9064242839813232,-0.10412907600402832,-0.6007357835769653
1683586965535391500,1.0413916015625,0.8906781077384949,0.09003668278455734,-0.7239941358566284
1683586965545398500,1.0513984375,0.871323823928833,0.34327372908592224,-0.7541597485542297
1683586965555404500,1.061404541015625,0.8655386567115784,0.5706482529640198,-0.6576241850852966
1683586965565411600,1.07141162109375,0.8767958283424377,0.616066038608551,-0.41381126642227173
1683586965575418400,1.08141845703125,0.8696646690368652,0.49676552414894104,-0.10448039323091507
1683586965585425400,1.09142529296875,0.7946826219558716,0.3159206509590149,0.13115715980529785
1683586965595432400,1.101432373046875,0.6741540431976318,0.030543074011802673,0.16786545515060425
1683586965605438500,1.1114384765625,0.6101580262184143,-0.10709415376186371,0.04228543862700462
1683586965615445200,1.1214453125,0.568339467048645,-0.03883057460188866,-0.1594303399324417
1683586965625452500,1.13145263671875,0.5129941701889038,0.18696899712085724,-0.3413729667663574
1683586965635459300,1.141459228515625,0.4372536242008209,0.551965057849884,-0.45692184567451477
1683586965645465300,1.15146533203125,0.3454166650772095,0.648645281791687,-0.6311565041542053
1683586965655472600,1.16147265625,0.2692912817001343,0.5836624503135681,-0.8241227865219116
1683586965665479400,1.1714794921875,0.2401839941740036,0.47345975041389465,-0.9847801327705383
1683586965675486500,1.181486572265625,0.21189481019973755,0.40947645902633667,-1.0982952117919922
1683586965685492500,1.191492431640625,0.16679923236370087,0.5575798749923706,-1.1074753999710083
1683586965695499500,1.20149951171875,0.08152853697538376,0.8548427820205688,-1.0857586860656738
1683586965705506600,1.211506591796875,-0.1201273500919342,0.9990622401237488,-1.0462267398834229
1683586965715513300,1.221513427734375,-0.28615015745162964,0.939759373664856,-0.9886144399642944
1683586965725520400,1.231520263671875,-0.3758683204650879,0.9170199632644653,-0.9105156064033508
1683586965735526700,1.241526611328125,-0.43750259280204773,0.9175161123275757,-0.8222218751907349
1683586965745533400,1.251533447265625,-0.4534844756126404,0.8874386548995972,-0.7683839201927185
1683586965755540500,1.26154052734375,-0.39208003878593445,0.918387234210968,-0.7575916051864624
1683586965765547500,1.271547607421875,-0.2877131700515747,1.0007973909378052,-0.7659086585044861
1683586965775553500,1.281553466796875,-0.18138721585273743,1.056947112083435,-0.7762402296066284
1683586965785560300,1.291560302734375,-0.12313590198755264,1.0521388053894043,-0.7594455480575562
1683586965795567600,1.301567626953125,-0.13239356875419617,1.0514698028564453,-0.6876086592674255
1683586965805574400,1.311574462890625,-0.18579155206680298,1.0768803358078003,-0.5584863424301147
1683586965815580400,1.321580322265625,-0.2718161940574646,1.1728827953338623,-0.38885706663131714
1683586965825587500,1.33158740234375,-0.35119304060935974,1.276747226715088,-0.2092422991991043
1683586965835594500,1.341594482421875,-0.3751673400402069,1.2731620073318481,-0.053661443293094635
1683586965845601500,1.3516015625,-0.36186936497688293,1.18707275390625,0.07064959406852722
1683586965855607600,1.361607666015625,-0.3121492564678192,1.1120432615280151,0.17156080901622772
1683586965865614300,1.3716142578125,-0.2238074243068695,1.0370904207229614,0.2563137710094452
1683586965875621600,1.38162158203125,-0.08057992905378342,0.9041537046432495,0.32422465085983276
1683586965885628400,1.39162841796875,0.057463958859443665,0.7761845588684082,0.301275372505188
1683586965895635500,1.401635498046875,0.1342114806175232,0.6024823784828186,0.22504115104675293
1683586965905641500,1.411641357421875,0.1363404095172882,0.4405483305454254,0.1377701610326767
1683586965915648500,1.4216484375,0.0774427279829979,0.3429289162158966,0.08315611630678177
1683586965925655300,1.4316552734375,0.011849075555801392,0.3032001554965973,0.0756571814417839
1683586965935662600,1.44166259765625,-0.037361353635787964,0.30367401242256165,0.10054440796375275
1683586965945668400,1.45166845703125,-0.09751869738101959,0.32183411717414856,0.11759662628173828
1683586965955675400,1.46167529296875,-0.11591687798500061,0.21562984585762024,0.13897602260112762
1683586965965682400,1.471682373046875,-0.10119332373142242,0.12517450749874115,0.1358334869146347
1683586965975689500,1.481689453125,-0.09114626049995422,0.049455124884843826,0.10614623129367828
1683586965985695500,1.491695556640625,-0.06450320035219193,-0.08798901736736298,0.08519142121076584
1683586965995702500,1.50170263671875,-0.05010642856359482,-0.17091920971870422,0.08333896100521088
1683586966005709300,1.511709228515625,-0.0701025053858757,-0.1898910403251648,0.11744233965873718
